cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
I1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
I3,0,0,0,0,0,16,0,0,0,0,5,3,0,0,0,4,0,0,0,0,0,0,0,0,10,0,22,0,1,0
I4,0,0,0,0,0,16,0,0,0,0,5,3,0,0,0,4,0,0,0,0,1,0,0,0,10,0,22,0,1,0
I5,0,0,0,0,0,16,0,0,0,0,5,3,0,0,0,4,0,0,0,41,1,0,0,0,10,0,22,0,1,0
I6,0,0,0,1,0,16,0,0,0,0,5,3,0,0,2,4,0,0,0,41,1,0,0,0,10,0,22,0,1,0
I7,0,0,0,1,0,16,0,0,0,0,5,3,0,0,2,4,0,0,0,41,1,0,0,0,10,0,22,2,1,0
I9,2,0,0,1,1,16,3,0,0,0,5,3,0,0,2,4,0,2,0,41,1,0,0,0,s,s,22,2,1,0
1507,2,0,0,1,1,16,3,d,0,0,5,3,0,0,2,4,0,2,0,41,1,1,0,7,s,s,d,d,1,0
1980,2,2,0,1,1,16,d,0,0,5,5,d,0,0,2,4,0,2,0,41,1,d,d,0,s,s,22,2,1,0
I15,s,0,4,1,0,16,5,0,0,0,5,3,2,0,2,4,0,0,0,41,1,0,0,0,10,0,22,2,1,0
I16,s,0,4,1,0,16,5,0,0,0,5,3,2,0,2,4,0,0,0,41,1,0,0,0,10,0,22,2,1,0
1310,s,0,4,1,0,16,5,d,6,0,5,3,2,d,2,4,3,0,6,41,1,0,1,0,10,0,22,2,1,0
1421,s,0,s,1,0,16,5,0,0,0,5,3,d,0,2,4,0,0,0,41,1,0,d,0,10,3,s,d,1,0
I21,s,0,4,1,0,16,5,6,0,0,5,3,2,0,2,4,0,0,0,41,1,1,0,0,10,s,22,2,1,0
1599,s,d,4,1,d,16,5,6,0,0,5,d,2,0,2,4,0,d,0,41,d,d,0,d,10,s,22,2,1,0
1598,s,0,4,1,0,16,5,6,0,0,5,3,2,0,2,4,d,0,0,41,1,d,0,0,10,s,22,2,1,0
I22,0,0,0,1,1,16,0,0,0,0,5,3,0,0,2,4,0,0,0,41,1,0,0,0,10,0,22,0,1,0
I23,0,0,0,1,1,16,0,0,0,0,5,3,0,0,2,4,0,2,0,41,1,0,0,0,10,0,22,0,1,0
I24,0,0,0,1,1,16,0,8,0,0,5,3,0,0,2,4,0,2,0,41,1,0,0,0,10,0,22,0,1,0
1606,0,0,5,s,1,16,s,8,0,0,5,3,0,0,2,4,0,2,0,41,1,0,0,0,10,0,22,0,1,0
I26,0,0,0,1,1,s,0,8,0,0,5,3,0,0,2,4,0,2,0,41,1,0,0,0,10,0,22,0,1,0
1639,0,0,d,1,1,s,0,8,0,0,5,3,0,0,2,4,0,2,0,41,1,0,0,5,10,0,22,d,1,d
1638,0,d,0,1,d,s,d,d,0,d,5,3,0,0,2,4,d,2,0,41,1,0,0,0,10,0,22,0,1,0
I27,0,0,0,1,1,16,0,s,0,0,5,3,0,0,2,4,0,2,0,41,1,0,0,0,10,0,22,0,1,0
1435,0,0,s,1,d,16,0,s,26,0,5,3,0,d,d,4,0,2,d,41,1,0,0,0,10,2,22,0,1,0
1332,0,d,0,1,d,16,41,s,0,0,5,s,0,d,2,4,0,2,0,41,d,0,1,d,10,0,d,0,1,0
I30,s,0,0,1,1,16,0,17,0,0,5,3,0,0,2,4,0,0,0,41,1,0,0,0,10,0,22,2,1,0
I31,s,0,0,1,1,16,0,17,0,0,5,3,0,0,2,4,0,0,0,41,s,0,0,0,10,0,22,2,1,0
I32,s,0,0,1,1,16,0,17,0,0,s,3,0,0,2,4,0,0,0,41,s,0,0,0,10,0,22,2,1,0
1521,s,0,d,d,1,d,0,17,0,d,s,3,d,0,2,4,0,0,0,41,s,0,0,0,10,d,22,d,1,0
1520,s,0,d,1,1,16,0,17,d,0,s,3,0,9,2,4,0,0,0,41,s,0,0,0,10,0,22,2,1,0
1504,s,0,0,1,1,16,0,17,d,d,d,3,0,0,2,4,0,0,0,41,s,d,0,0,10,0,22,d,1,10
I34,s,0,0,1,1,16,0,17,0,5,5,3,0,0,2,4,0,0,0,s,1,0,0,0,10,0,22,2,1,0
I35,s,0,0,1,1,16,0,17,0,5,5,3,0,0,s,4,0,0,0,s,1,0,0,0,10,0,22,2,1,0
1491,s,0,0,1,1,16,0,17,0,5,5,d,0,0,s,4,d,0,0,s,1,0,0,0,10,0,22,2,1,0
1490,s,0,0,1,1,16,0,17,d,5,5,3,0,0,s,4,0,0,0,s,1,0,0,1,10,0,22,2,1,0
1754,s,0,0,1,d,16,0,17,0,5,5,3,d,0,2,4,1,1,0,s,1,0,0,2,d,0,22,2,1,d
I37,0,0,0,0,0,16,2,0,0,0,5,3,0,0,0,4,0,0,0,41,1,0,0,0,10,0,22,0,1,0
I38,0,0,0,0,0,16,2,0,0,0,5,3,0,0,0,4,0,0,0,41,1,0,0,0,10,0,22,0,1,0
I39,0,0,s,0,0,16,2,0,0,0,5,3,0,0,0,4,0,0,1,41,1,0,8,0,10,0,22,0,1,2
I40,0,0,s,0,0,16,2,0,0,0,5,3,0,0,0,4,0,0,1,41,1,0,8,0,10,0,22,0,1,2
I41,0,2,s,0,0,16,2,0,0,0,5,3,0,0,0,4,1,0,1,41,1,0,8,0,10,0,22,0,1,2
1303,0,2,s,0,0,16,2,0,0,0,d,3,0,0,0,4,1,0,1,41,1,d,8,0,10,0,22,0,1,2
1302,0,2,s,0,0,16,2,0,0,0,5,3,0,0,2,4,1,d,1,41,1,0,8,0,10,d,d,0,1,2
I42,0,0,s,s,0,16,2,0,0,0,5,3,0,0,0,4,0,0,1,41,1,0,8,0,10,0,22,0,1,2
1523,0,0,s,s,d,16,2,0,0,d,d,3,0,0,0,4,0,0,1,41,1,0,8,0,10,2,22,0,1,2
1522,0,d,s,s,0,16,2,0,0,0,5,3,0,0,0,4,0,0,1,41,1,0,8,0,10,0,22,0,1,d
I43,0,0,s,0,0,16,2,0,0,0,5,3,0,0,0,4,0,0,1,41,1,0,8,0,10,0,22,0,1,2
1448,2,0,s,0,0,d,2,s,0,0,d,3,0,34,0,4,0,0,1,41,1,d,d,0,10,0,22,0,1,2
I45,0,0,s,0,0,16,2,0,0,0,5,3,0,0,0,4,0,0,1,41,s,0,8,0,s,2,22,0,1,s
1349,0,0,s,0,0,16,2,d,d,0,5,3,0,d,0,4,0,d,1,d,s,0,8,0,s,d,22,0,1,s
1348,0,d,s,0,0,d,2,0,0,0,5,3,d,0,0,4,0,0,1,41,s,0,8,0,s,2,22,0,1,s
I46,0,0,0,0,0,16,2,7,0,0,5,3,0,0,0,4,0,0,0,41,1,0,0,0,10,0,22,0,1,0
1970,d,d,0,0,1,d,2,7,10,0,5,3,0,0,0,s,0,2,d,41,s,0,0,2,10,2,22,2,1,d
1124,s,2,5,0,d,16,d,7,12,0,5,3,0,0,0,d,0,2,16,41,1,0,8,0,10,0,22,6,d,3
I54,0,0,0,0,0,16,2,s,0,0,5,3,0,15,2,4,0,0,0,41,1,0,5,1,10,0,22,2,1,0
I55,2,s,0,0,0,16,2,s,0,0,5,3,0,15,2,4,1,0,0,41,1,0,5,1,10,0,22,2,1,0
I56,2,s,0,0,0,16,2,s,0,0,5,3,0,15,2,4,1,0,0,41,1,0,5,1,10,0,22,2,1,0
I57,2,s,0,0,0,16,2,s,0,0,5,3,0,15,2,4,1,0,0,41,1,1,5,1,10,0,22,2,1,0
1119,2,s,0,0,0,16,2,s,0,0,5,3,0,15,2,s,1,0,0,41,1,1,5,1,10,0,d,2,1,4
1118,d,s,0,0,0,16,2,s,0,d,d,3,d,15,2,4,1,0,d,41,1,d,5,1,10,0,22,2,1,41
1160,d,s,d,0,0,d,2,s,8,0,5,3,d,15,2,4,1,0,0,41,d,1,5,1,10,2,22,2,d,0
I59,2,s,0,0,0,16,2,s,0,5,5,3,0,15,2,4,1,2,0,41,1,0,5,1,10,2,22,2,1,0
1410,2,s,d,2,0,16,2,s,0,d,5,3,0,15,d,4,1,2,9,d,1,0,5,1,10,2,d,2,1,0
1483,2,s,5,d,0,16,2,s,0,5,s,d,0,15,2,4,1,d,0,41,1,d,5,1,d,2,22,2,1,0
I62,2,0,0,0,0,16,2,s,0,0,5,3,0,15,2,4,0,0,0,41,1,0,5,1,10,0,22,2,1,0
I63,2,0,0,0,0,16,2,s,0,0,5,3,0,15,2,4,0,0,0,41,1,0,5,1,10,0,22,2,1,0
1113,2,d,4,d,1,16,2,s,0,0,5,3,d,15,d,d,1,0,0,41,1,0,5,1,10,0,22,2,1,d
1405,2,0,0,0,0,16,2,s,0,1,5,3,0,15,2,d,0,0,0,41,d,0,5,s,10,0,22,2,1,0
I66,2,0,0,0,1,16,2,s,10,0,5,3,0,15,2,4,0,0,16,41,1,0,5,1,10,0,22,2,1,0
1457,2,2,s,0,1,16,2,s,10,0,5,3,0,15,2,4,0,2,d,41,1,0,5,1,10,2,d,d,s,0
1338,2,0,0,d,1,16,2,s,d,0,5,3,3,d,d,4,0,0,16,41,1,d,5,d,d,0,22,2,1,0
I69,0,0,4,0,0,16,0,0,0,0,5,3,0,0,0,s,0,0,21,0,1,0,0,0,10,0,22,0,1,0
I70,0,0,4,0,0,16,0,0,0,0,5,3,0,0,0,s,0,0,21,0,1,0,0,0,10,0,22,0,1,0
I71,0,0,4,0,0,16,0,0,0,0,5,3,0,0,0,s,0,0,21,0,1,0,0,0,10,2,22,0,1,0
I72,0,0,4,0,0,16,0,0,0,0,5,3,0,0,0,s,0,0,21,0,1,0,0,0,10,2,22,0,1,0
1151,0,0,d,0,d,d,0,8,d,0,5,d,d,0,0,s,0,0,21,0,1,d,0,0,10,2,22,0,1,5
I76,0,0,4,0,0,16,0,0,0,0,5,3,3,0,0,s,0,0,21,0,1,0,0,0,10,2,22,0,1,27
1159,s,2,4,0,0,16,0,d,0,0,5,3,3,0,0,s,0,0,21,0,1,0,0,0,10,2,22,0,1,27
1252,d,d,4,0,0,16,0,0,0,d,5,3,3,0,0,s,0,0,21,0,d,0,0,0,10,2,22,d,1,27
I79,0,0,4,0,0,s,0,0,0,0,5,3,0,0,0,s,0,0,21,0,1,0,2,0,10,2,22,0,1,0
I80,0,0,4,0,0,s,0,1,0,0,5,3,0,0,0,s,0,0,21,0,1,0,2,0,10,2,22,0,1,0
1343,0,0,4,0,0,s,0,1,10,0,5,3,d,0,d,s,0,2,d,d,1,0,2,0,10,2,22,d,1,0
1719,d,0,4,0,0,s,d,1,0,5,5,3,0,0,0,s,1,d,d,d,1,0,2,0,10,2,22,d,1,28
I83,0,0,4,0,0,s,0,0,0,0,5,3,0,0,0,s,0,2,21,0,1,0,2,0,10,2,22,0,1,0
I84,0,0,4,1,0,s,0,0,0,0,5,3,8,5,0,s,0,2,21,16,1,0,2,2,10,2,22,0,1,0
