cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
1980,1,14,3,7,0,3,0,9,0,11,0,3,14,8,0,6,?,0,?,0,20,1,20,1,?,0,?,1,0,?
1424,1,20,?,?,0,?,0,9,0,11,0,3,14,8,?,6,?,0,?,0,20,?,0,?,?,0,?,1,0,14
1311,1,3,3,7,0,3,0,?,7,11,5,3,?,8,1,6,?,0,?,0,20,0,3,1,?,?,?,?,0,14
1435,1,12,3,7,?,3,?,9,0,11,0,3,?,8,0,6,?,0,?,0,?,1,9,1,?,0,?,?,0,0
1434,1,12,3,7,?,3,0,9,0,11,0,3,14,8,0,6,?,0,?,0,7,1,9,1,?,0,?,?,0,0
1332,1,12,3,7,?,3,0,9,0,11,0,3,14,8,0,6,?,14,?,0,7,?,9,1,?,0,?,?,?,0
1521,1,?,3,?,0,3,0,?,0,11,27,0,14,?,1,6,?,0,?,?,7,0,0,1,?,1,?,0,0,0
1520,1,12,3,?,0,3,0,?,0,11,27,0,?,8,0,6,?,0,?,2,7,?,?,?,?,1,?,0,0,0
1505,1,12,3,7,?,3,?,9,0,?,27,0,14,8,0,?,?,0,?,2,7,0,0,1,?,?,?,0,0,6
1490,1,12,3,7,?,3,0,9,0,11,27,?,?,8,0,6,?,14,?,2,7,1,0,1,?,1,?,0,0,0
1754,1,?,3,7,13,3,0,9,0,11,27,?,14,8,0,6,?,14,?,2,7,?,3,1,?,1,?,0,0,0
1303,0,?,3,7,7,3,8,9,0,?,0,6,11,9,0,6,?,?,?,0,10,?,0,0,?,?,?,0,0,3
1523,0,?,3,7,?,3,8,9,11,11,0,6,11,9,0,6,?,?,?,0,0,1,0,0,?,?,?,0,0,3
1522,0,?,?,?,?,3,8,9,0,11,0,?,11,9,?,6,?,?,?,2,0,1,0,0,?,?,?,0,0,3
1449,1,?,3,?,7,?,8,9,0,11,0,6,11,?,0,6,?,0,?,0,0,0,?,0,?,?,?,0,0,3
1448,1,?,3,7,7,3,8,9,?,11,?,6,11,9,0,6,?,0,?,?,0,0,0,13,?,?,?,0,0,?
1349,1,?,3,7,7,3,8,9,0,11,0,6,11,9,?,6,?,0,?,0,0,0,0,?,?,?,?,?,0,3
1971,1,25,3,7,0,?,5,?,0,11,0,3,11,9,0,6,?,?,?,1,0,1,0,0,?,0,?,?,?,3
1052,?,0,3,7,1,3,5,?,0,11,?,3,11,9,?,6,?,23,?,1,?,0,0,0,?,0,?,?,2,3
1193,?,0,3,7,0,3,?,?,0,11,0,3,?,9,?,6,?,0,?,1,3,0,?,?,?,0,?,1,2,3
1125,?,0,3,7,0,?,20,9,0,11,19,3,?,9,0,6,?,0,?,?,0,0,0,?,?,1,?,1,0,3
1124,1,0,3,7,0,?,20,9,0,11,19,3,11,9,0,6,?,0,?,0,0,0,0,?,?,0,?,1,0,3
1035,1,?,3,7,17,3,0,9,?,11,19,3,11,9,0,6,?,?,?,1,0,?,0,0,?,0,?,1,3,3
1034,1,0,3,7,17,3,0,?,0,11,?,3,11,9,?,6,?,?,?,1,0,0,?,0,?,0,?,1,?,3
1118,0,16,?,?,0,3,0,9,0,11,?,0,0,9,?,6,?,0,?,1,16,?,?,?,?,0,?,?,0,0
1161,0,0,?,7,18,3,0,9,?,11,32,0,0,9,?,6,?,0,?,1,16,0,?,13,?,0,?,?,0,0
1160,1,0,?,7,0,?,0,9,0,11,32,0,0,?,?,6,?,0,?,1,16,0,?,13,?,0,?,?,0,0
1410,0,0,3,7,?,3,0,9,0,11,32,?,4,9,0,?,?,?,?,1,0,0,0,0,?,1,?,?,0,0
1483,?,0,?,7,?,3,0,9,0,11,32,?,4,9,?,6,?,?,?,1,6,?,0,0,?,0,?,?,?,0
1457,0,?,?,7,0,?,0,?,?,?,0,3,0,9,0,6,?,0,?,1,0,0,20,0,?,0,?,0,0,0
1287,?,11,3,7,0,3,?,9,?,11,2,3,?,21,1,6,?,0,?,2,19,0,2,0,?,1,?,1,3,0
1150,?,3,?,7,0,3,3,9,11,11,19,3,19,21,1,6,?,0,?,2,19,0,2,0,?,0,?,1,3,0
1159,?,0,?,7,6,?,0,9,23,11,0,3,?,21,1,6,?,0,?,2,19,0,?,4,?,0,?,0,?,?
1253,0,0,3,7,?,3,0,?,0,11,0,3,19,21,1,6,?,0,?,2,19,0,?,4,?,0,?,0,3,0
1252,0,0,3,7,6,3,0,?,0,11,0,3,19,21,1,6,?,0,?,2,19,?,?,?,?,0,?,1,3,0
1343,?,?,3,7,0,?,42,9,0,11,11,0,?,?,0,6,?,13,?,1,19,1,0,0,?,?,?,0,?,0
1342,0,0,3,?,?,3,42,9,0,11,11,0,?,21,0,6,?,13,?,1,19,?,0,0,?,1,?,0,3,0
1111,0,0,3,7,?,3,8,?,0,11,11,3,19,21,1,6,?,10,?,0,?,0,15,0,?,0,?,0,3,?
2029,1,0,3,7,13,3,8,9,0,11,11,0,?,21,2,6,?,10,?,0,19,0,0,0,?,?,?,0,?,?
2028,1,0,3,7,13,3,8,9,0,11,?,0,19,21,2,?,?,10,?,0,19,0,0,0,?,0,?,?,3,?
1191,1,0,3,7,?,3,0,?,?,11,0,?,19,0,1,6,?,2,?,?,19,0,?,29,?,1,?,?,2,0
1190,1,0,?,7,0,3,0,9,0,11,0,0,19,0,1,6,?,2,?,?,?,0,0,29,?,0,?,?,?,?
1299,?,0,3,7,0,3,0,9,4,11,?,0,19,0,1,6,?,0,?,0,19,0,0,29,?,0,?,1,0,0
1298,1,0,3,7,0,3,0,9,0,11,0,0,19,0,1,6,?,0,?,0,19,0,0,29,?,?,?,1,0,0
1263,?,0,?,7,0,3,0,9,?,11,0,3,19,0,1,6,?,0,?,2,?,0,14,?,?,0,?,1,0,12
1262,?,0,3,7,0,3,0,?,?,11,0,3,19,0,1,6,?,0,?,2,19,0,14,0,?,0,?,1,0,12
1250,?,23,3,?,4,3,0,9,0,11,0,0,?,13,1,?,?,0,?,0,19,0,0,0,?,1,?,1,0,0
1078,1,0,3,7,0,3,0,9,0,11,?,0,19,13,1,6,?,13,?,0,19,0,0,0,?,?,?,1,0,0
1172,1,0,3,7,0,3,5,9,23,11,4,?,19,?,1,6,?,0,?,0,?,0,16,0,?,0,?,?,?,0
1406,1,?,?,7,0,3,0,9,?,11,0,0,?,?,1,6,?,0,?,0,19,0,16,0,?,0,?,1,?,0
1973,0,16,?,7,?,3,?,9,11,?,0,0,19,0,0,?,?,3,?,0,0,?,0,16,?,0,?,0,0,4
1972,0,16,3,7,0,3,?,9,11,11,0,0,19,0,0,?,?,3,?,0,0,?,0,16,?,0,?,0,0,4
1059,?,0,?,?,0,3,21,9,11,11,0,0,19,?,0,?,?,3,?,0,?,0,6,8,?,0,?,0,?,4
1885,0,16,3,?,0,3,1,9,?,?,22,0,19,0,0,?,?,?,?,2,0,0,14,0,?,0,?,1,3,4
1884,0,16,?,?,0,3,1,?,11,?,22,?,19,0,?,?,?,3,?,2,?,0,0,0,?,0,?,1,3,4
2045,0,?,3,7,0,3,0,9,11,11,22,0,?,0,0,?,?,?,?,?,16,?,?,?,?,?,?,0,0,?
2044,0,16,3,7,0,3,0,9,?,11,22,0,?,0,0,?,?,?,?,2,16,1,0,0,?,1,?,?,0,4
1098,1,0,3,?,0,3,31,9,11,11,?,3,19,8,0,?,?,3,?,0,?,1,0,?,?,?,?,0,0,4
1049,1,?,3,?,13,3,0,9,11,11,0,3,19,?,1,?,?,?,?,0,0,1,0,4,?,0,?,0,0,4
1048,?,0,3,?,13,3,0,?,11,11,0,3,19,8,0,?,?,3,?,0,0,1,20,4,?,?,?,?,0,4
1023,?,0,?,7,18,3,35,9,11,11,29,0,19,8,0,?,?,3,?,0,0,1,0,0,?,?,?,?,0,4
1022,0,0,?,7,18,3,0,9,11,?,?,6,19,8,0,?,?,3,?,0,0,1,?,0,?,?,?,0,0,4
1964,0,0,?,7,9,3,0,9,11,11,29,?,19,8,0,?,?,3,?,0,0,0,?,?,?,0,?,0,0,?
1300,1,0,3,7,10,3,0,9,11,11,21,?,19,17,0,6,?,3,?,0,24,0,0,1,?,0,?,0,0,0
1727,?,0,?,7,0,3,0,?,11,11,0,?,?,?,?,?,?,3,?,?,0,2,0,?,?,0,?,?,?,0
1044,1,5,3,7,0,3,0,9,?,11,?,0,19,17,0,?,?,?,?,0,8,?,0,?,?,?,?,?,0,0
1164,1,0,?,7,0,3,0,9,11,11,0,0,19,17,0,6,?,3,?,0,32,0,0,4,?,0,?,0,?,6
