cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29
133901,6,?,7,17,?,?,?,0,?,?,5,?,0,?,?,2,0,7,3,0,0,0,?,0,29,0,?,3,0,23
254747,6,?,7,17,1,6,15,0,0,?,11,0,0,1,1,2,6,7,?,0,0,0,0,?,0,0,?,?,0,0
250888,0,?,7,17,?,32,?,30,2,0,17,0,21,1,1,2,25,11,?,0,0,0,0,0,?,0,?,3,?,?
195168,?,?,13,?,1,?,?,0,?,?,0,?,0,1,1,2,23,7,3,?,0,5,6,0,4,0,?,3,1,18
201298,3,?,13,17,1,6,3,0,?,0,11,13,?,?,1,2,?,15,3,?,0,8,0,0,0,3,?,?,1,0
252609,0,?,13,17,?,?,3,30,0,0,?,13,0,1,1,2,3,15,3,?,0,?,0,2,0,?,?,?,1,13
224105,?,?,13,17,1,0,3,5,?,0,?,?,0,?,1,2,?,15,?,?,1,?,0,10,0,0,?,3,1,0
230213,?,?,5,?,1,40,?,1,1,?,0,?,10,1,0,?,0,2,?,2,?,?,?,27,0,0,?,3,?,14
217010,0,?,0,?,1,40,0,0,1,0,2,1,0,1,0,2,0,?,3,?,1,7,0,0,0,?,?,?,29,14
173400,4,?,0,17,?,40,0,0,?,?,13,1,0,1,0,?,0,?,3,2,1,7,1,0,0,0,?,3,?,14
183664,6,?,19,?,?,40,0,?,1,0,17,0,16,1,0,2,0,0,3,0,0,?,14,0,?,3,?,3,0,0
171541,3,?,?,?,?,0,1,0,1,0,0,9,0,1,0,2,0,?,3,2,1,0,9,?,0,4,?,3,24,25
215420,0,?,0,?,1,40,1,7,1,0,0,0,0,1,0,2,0,7,3,2,?,0,9,0,0,?,?,3,1,25
176121,3,?,?,17,1,?,?,0,1,0,0,?,0,1,?,2,6,?,?,2,1,0,0,?,8,?,?,3,?,0
160625,3,?,0,17,1,0,?,12,1,0,0,0,0,1,13,2,6,0,3,2,0,0,0,0,8,6,?,3,1,?
142500,3,23,15,3,1,42,0,?,1,?,?,7,0,?,?,2,?,?,3,?,0,7,7,0,33,6,?,3,?,?
171712,0,0,0,6,0,?,0,?,1,0,?,?,0,1,0,2,20,21,3,?,0,0,0,0,0,6,?,3,13,?
228458,3,0,0,?,0,0,?,3,1,0,?,?,?,1,0,2,20,0,3,0,0,0,0,25,0,6,?,3,13,?
143105,0,0,?,?,1,0,20,0,1,1,17,0,3,?,7,2,?,?,3,?,0,?,2,0,0,6,?,3,13,0
210612,5,?,?,?,0,0,20,0,1,1,17,0,0,1,0,2,0,0,3,0,1,?,7,27,10,6,?,3,13,0
197994,?,3,0,?,1,0,2,0,1,0,17,0,0,1,?,2,9,0,3,?,?,0,0,0,0,6,?,3,?,?
139510,3,3,0,0,1,14,3,20,1,0,?,3,5,1,?,2,0,21,3,2,?,?,2,0,7,6,?,3,0,0
197099,5,1,15,3,0,?,0,0,1,0,?,15,0,1,0,2,?,0,3,?,?,13,2,?,0,?,?,3,0,0
155486,5,0,15,0,?,?,0,0,1,0,?,?,0,1,4,2,0,0,3,2,1,?,9,11,15,6,?,3,0,0
208659,?,?,15,9,1,14,0,?,1,?,0,0,0,1,4,2,?,0,3,2,1,0,?,?,0,?,?,3,2,?
245376,5,0,?,?,1,14,?,4,1,1,0,0,0,1,?,2,0,0,3,2,1,0,0,?,0,6,?,3,2,0
203592,?,0,15,?,0,14,0,?,1,1,?,0,0,1,0,2,8,?,3,2,1,8,?,11,6,6,?,3,2,0
222149,0,0,15,17,1,14,0,0,1,1,0,7,11,1,1,2,0,0,3,2,?,7,0,11,?,6,?,?,11,?
220719,3,?,15,0,0,14,0,0,?,0,0,?,0,1,1,2,0,2,3,2,0,?,0,?,33,6,?,3,0,0
245872,3,2,?,6,0,14,2,?,1,?,0,0,0,1,1,2,9,13,?,2,?,7,4,11,21,6,?,3,0,14
140965,0,27,23,?,1,30,0,?,1,0,?,0,25,1,0,2,0,0,3,2,1,0,6,14,8,6,?,?,0,0
243013,?,?,0,0,0,?,0,0,1,0,0,1,0,1,9,?,3,0,3,2,1,?,6,10,8,6,?,3,0,0
