cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
1507,?,14,3,7,0,3,0,?,0,11,27,3,14,8,0,6,?,0,?,?,20,1,20,1,?,0,?,1,0,?
1506,1,14,?,7,?,3,0,?,0,11,27,3,14,?,0,6,?,?,?,?,20,?,20,1,?,0,?,1,0,?
1980,1,14,3,7,0,3,0,9,0,11,0,3,14,8,0,6,?,0,?,0,20,1,20,1,?,0,?,1,0,?
1425,1,20,3,7,0,3,0,9,1,11,0,3,14,8,0,?,?,?,?,0,20,1,0,1,?,0,?,?,0,14
1627,1,20,?,7,0,?,27,9,0,11,0,?,14,8,1,?,?,0,?,?,?,1,3,1,?,?,?,1,2,14
1310,1,?,3,7,0,3,0,9,7,11,5,?,14,8,1,6,?,0,?,0,20,0,3,1,?,1,?,0,0,14
1420,1,0,3,7,?,3,0,9,7,11,5,?,14,8,1,?,?,?,?,?,?,0,?,1,?,0,?,?,0,14
1283,?,4,3,7,6,3,0,9,0,11,0,3,?,?,0,?,?,?,?,?,20,0,0,1,?,1,?,?,0,14
1606,1,12,3,7,1,?,8,9,0,11,?,3,14,?,0,6,?,0,?,0,7,1,9,1,?,0,?,0,0,?
1639,1,12,3,7,0,3,?,9,0,?,0,3,14,8,?,6,?,1,?,0,7,1,?,1,?,0,?,0,?,0
1638,1,12,3,7,0,3,?,?,?,11,0,?,14,8,?,6,?,1,?,0,7,1,?,?,?,0,?,0,2,0
1435,1,12,3,7,?,3,?,9,0,11,0,3,?,8,0,6,?,0,?,0,?,1,9,1,?,0,?,?,0,0
1333,1,12,3,7,?,3,0,9,0,11,0,3,?,8,0,6,?,14,?,?,?,1,9,1,?,0,?,?,0,?
1332,1,12,3,7,?,3,0,9,0,11,0,3,14,8,0,6,?,14,?,0,7,?,9,1,?,0,?,?,?,0
1504,1,12,3,7,0,3,0,9,0,11,27,0,14,8,0,6,?,0,?,2,7,0,?,1,?,1,?,0,0,6
1490,1,12,3,7,?,3,0,9,0,11,27,?,?,8,0,6,?,14,?,2,7,1,0,1,?,1,?,0,0,0
1302,0,?,3,7,7,?,8,?,0,11,25,6,?,9,0,6,?,0,?,0,10,0,?,4,?,?,?,0,0,3
1523,0,?,3,7,?,3,8,9,11,11,0,6,11,9,0,6,?,?,?,0,0,1,0,0,?,?,?,0,0,3
1522,0,?,?,?,?,3,8,9,0,11,0,?,11,9,?,6,?,?,?,2,0,1,0,0,?,?,?,0,0,3
1449,1,?,3,?,7,?,8,9,0,11,0,6,11,?,0,6,?,0,?,0,0,0,?,0,?,?,?,0,0,3
1349,1,?,3,7,7,3,8,9,0,11,0,6,11,9,?,6,?,0,?,0,0,0,0,?,?,?,?,?,0,3
1348,1,?,3,7,7,3,8,?,0,11,0,6,11,9,0,6,?,0,?,0,0,0,0,?,?,?,?,?,0,3
